reviews,Cleaned Reviews,POS tagged,Lemma,Sentiment,Analysis
" I was very disappointed with the service of Pakistan International Airlines. I had booked a flight to return to my work abroad, but when I arrived at the airport, I was informed that the flight had been canceled without any prior notice or explanation. This is very shameful for a nation like Pakistan, which should value its reputation and professionalism. Because of this cancellation, I might face serious consequences at my work, such as losing my job or damaging my credibility. I expect a full refund and an apology from the airline for this inconvenience and negligence.", I was very disappointed with the service of Pakistan International Airlines I had booked a flight to return to my work abroad but when I arrived at the airport I was informed that the flight had been canceled without any prior notice or explanation This is very shameful for a nation like Pakistan which should value its reputation and professionalism Because of this cancellation I might face serious consequences at my work such as losing my job or damaging my credibility I expect a full refund and an apology from the airline for this inconvenience and negligence ,"[('disappointed', 'a'), ('service', 'n'), ('Pakistan', 'n'), ('International', 'n'), ('Airlines', 'n'), ('booked', 'v'), ('flight', 'n'), ('return', 'v'), ('work', 'n'), ('abroad', 'r'), ('arrived', 'v'), ('airport', 'n'), ('informed', 'v'), ('flight', 'n'), ('canceled', 'v'), ('without', None), ('prior', 'a'), ('notice', 'n'), ('explanation', 'n'), ('shameful', 'a'), ('nation', 'n'), ('like', None), ('Pakistan', 'n'), ('value', 'n'), ('reputation', 'n'), ('professionalism', 'n'), ('cancellation', 'n'), ('might', None), ('face', 'r'), ('serious', 'a'), ('consequences', 'n'), ('work', 'n'), ('losing', 'v'), ('job', 'n'), ('damaging', 'v'), ('credibility', 'n'), ('expect', 'v'), ('full', 'a'), ('refund', 'n'), ('apology', 'n'), ('airline', 'n'), ('inconvenience', 'n'), ('negligence', 'n')]",  disappointed service Pakistan International Airlines book flight return work abroad arrive airport inform flight cancel without prior notice explanation shameful nation like Pakistan value reputation professionalism cancellation might face serious consequence work lose job damage credibility expect full refund apology airline inconvenience negligence,-0.8979,Negative
"   Given all the negative reviews about PIA, I was nervous about what my experience would be like. It really wasn't bad at all though. Check-in and boarding in LHE was a little chaotic, no announcements or anything for boarding - people just queued up and waited for boarding to commence. Flight was about 30 minutes late with boarding. Onboard PIA A320s dont have PTVs so you should either bring a book or your laptop. They served an inflight meal shortly after takeoff, food was really not bad. Flight attendants were overall very helpful and kind and they were present throughout the 3 1/2 hour flight to give out water or other beverages. We landed approximately 20 minutes behind schedule so no major issues. Overall, I would recommend PIA.", Given all the negative reviews about PIA I was nervous about what my experience would be like It really wasn t bad at all though Check in and boarding in LHE was a little chaotic no announcements or anything for boarding people just queued up and waited for boarding to commence Flight was about minutes late with boarding Onboard PIA A s dont have PTVs so you should either bring a book or your laptop They served an inflight meal shortly after takeoff food was really not bad Flight attendants were overall very helpful and kind and they were present throughout the hour flight to give out water or other beverages We landed approximately minutes behind schedule so no major issues Overall I would recommend PIA ,"[('Given', 'v'), ('negative', 'a'), ('reviews', 'n'), ('PIA', 'n'), ('nervous', 'a'), ('experience', 'n'), ('would', None), ('like', None), ('really', 'r'), ('bad', 'a'), ('though', None), ('Check', 'n'), ('boarding', 'v'), ('LHE', 'n'), ('little', 'a'), ('chaotic', 'a'), ('announcements', 'n'), ('anything', 'n'), ('boarding', 'v'), ('people', 'n'), ('queued', 'v'), ('waited', 'v'), ('boarding', 'v'), ('commence', 'v'), ('Flight', 'n'), ('minutes', 'n'), ('late', 'r'), ('boarding', 'v'), ('Onboard', 'n'), ('PIA', 'n'), ('dont', 'n'), ('PTVs', 'n'), ('either', 'v'), ('bring', 'v'), ('book', 'n'), ('laptop', 'n'), ('served', 'v'), ('inflight', 'a'), ('meal', 'n'), ('shortly', 'r'), ('takeoff', 'n'), ('food', 'n'), ('really', 'r'), ('bad', 'a'), ('Flight', 'n'), ('attendants', 'n'), ('overall', 'a'), ('helpful', 'a'), ('kind', 'n'), ('present', 'a'), ('throughout', None), ('hour', 'n'), ('flight', 'n'), ('give', 'v'), ('water', 'n'), ('beverages', 'n'), ('landed', 'v'), ('approximately', 'r'), ('minutes', 'n'), ('behind', None), ('schedule', 'n'), ('major', 'a'), ('issues', 'n'), ('Overall', 'v'), ('would', None), ('recommend', 'v'), ('PIA', 'n')]",  Given negative review PIA nervous experience would like really bad though Check board LHE little chaotic announcement anything board people queue wait board commence Flight minute late board Onboard PIA dont PTVs either bring book laptop serve inflight meal shortly takeoff food really bad Flight attendant overall helpful kind present throughout hour flight give water beverage land approximately minute behind schedule major issue Overall would recommend PIA,-0.7264,Negative
  I flew from Karachi to Toronto on PIA 777-200LR. The seats very comfortable and the leg room was amazing. Cabin crew was very friendly and kept on serving refreshments. The food is delicious. The best part is that it is the only non stop flight from Pakistan to Canada which is very convenient and saves a lot of time. The only drawbacks are that the IFE doesn’t work except for the flight map and there are no charging ports. , I flew from Karachi to Toronto on PIA LR The seats very comfortable and the leg room was amazing Cabin crew was very friendly and kept on serving refreshments The food is delicious The best part is that it is the only non stop flight from Pakistan to Canada which is very convenient and saves a lot of time The only drawbacks are that the IFE doesn t work except for the flight map and there are no charging ports ,"[('flew', 'v'), ('Karachi', 'n'), ('Toronto', 'n'), ('PIA', 'n'), ('LR', 'n'), ('seats', 'n'), ('comfortable', 'a'), ('leg', 'n'), ('room', 'n'), ('amazing', 'v'), ('Cabin', 'n'), ('crew', 'n'), ('friendly', 'a'), ('kept', 'v'), ('serving', 'v'), ('refreshments', 'n'), ('food', 'n'), ('delicious', 'a'), ('best', 'a'), ('part', 'n'), ('non', 'a'), ('stop', 'v'), ('flight', 'n'), ('Pakistan', 'n'), ('Canada', 'n'), ('convenient', 'a'), ('saves', 'v'), ('lot', 'n'), ('time', 'n'), ('drawbacks', 'n'), ('IFE', 'n'), ('work', 'n'), ('except', None), ('flight', 'n'), ('map', 'n'), ('charging', 'v'), ('ports', 'n')]",  fly Karachi Toronto PIA LR seat comfortable leg room amaze Cabin crew friendly keep serve refreshment food delicious best part non stop flight Pakistan Canada convenient save lot time drawback IFE work except flight map charge port,0.9633,Positive
"  They cancelled my original booking without giving a reason! Offered me an alternative flight on a different date without my consent. I chosen to refund, the refund was 75%, they will simply not reply to any refund emails you will write.", They cancelled my original booking without giving a reason Offered me an alternative flight on a different date without my consent I chosen to refund the refund was they will simply not reply to any refund emails you will write ,"[('cancelled', 'v'), ('original', 'a'), ('booking', 'n'), ('without', None), ('giving', 'v'), ('reason', 'n'), ('Offered', 'n'), ('alternative', 'a'), ('flight', 'n'), ('different', 'a'), ('date', 'n'), ('without', None), ('consent', 'n'), ('chosen', 'v'), ('refund', 'v'), ('refund', 'n'), ('simply', 'r'), ('reply', 'v'), ('refund', 'n'), ('emails', 'v'), ('write', 'v')]",  cancel original booking without give reason Offered alternative flight different date without consent choose refund refund simply reply refund email write,-0.0941,Negative
 Karachi to Gwadar. Travelled with this airline after I had travelled on a short a domestic flight early September 2020. Flight in general was smooth and scenic. Ground staff were also pleasant and helpful. I see some betterment in overall operations particularly in terms of punctuality., Karachi to Gwadar Travelled with this airline after I had travelled on a short a domestic flight early September Flight in general was smooth and scenic Ground staff were also pleasant and helpful I see some betterment in overall operations particularly in terms of punctuality ,"[('Karachi', 'n'), ('Gwadar', 'n'), ('Travelled', 'n'), ('airline', 'n'), ('travelled', 'v'), ('short', 'a'), ('domestic', 'a'), ('flight', 'n'), ('early', 'a'), ('September', 'n'), ('Flight', 'n'), ('general', 'a'), ('smooth', 'a'), ('scenic', 'a'), ('Ground', 'n'), ('staff', 'n'), ('also', 'r'), ('pleasant', 'a'), ('helpful', 'a'), ('see', 'v'), ('betterment', 'n'), ('overall', 'a'), ('operations', 'n'), ('particularly', 'r'), ('terms', 'n'), ('punctuality', 'n')]",  Karachi Gwadar Travelled airline travel short domestic flight early September Flight general smooth scenic Ground staff also pleasant helpful see betterment overall operation particularly term punctuality,0.7269,Positive
  I will never use this airline again because of the way they handled COVID-19 situation. They cancelled flights and are only operating special flights so that they can charge triple fare. They have been cancelling commercial flights without notifying the passengers. When all other flights have decreased their fare in this pandemic. They are only greedy for money and taking advantage of this situation. , I will never use this airline again because of the way they handled COVID situation They cancelled flights and are only operating special flights so that they can charge triple fare They have been cancelling commercial flights without notifying the passengers When all other flights have decreased their fare in this pandemic They are only greedy for money and taking advantage of this situation ,"[('never', 'r'), ('use', 'v'), ('airline', 'n'), ('way', 'n'), ('handled', 'v'), ('COVID', 'n'), ('situation', 'n'), ('cancelled', 'v'), ('flights', 'n'), ('operating', 'v'), ('special', 'a'), ('flights', 'n'), ('charge', 'v'), ('triple', 'a'), ('fare', 'n'), ('cancelling', 'v'), ('commercial', 'a'), ('flights', 'n'), ('without', None), ('notifying', 'v'), ('passengers', 'n'), ('flights', 'n'), ('decreased', 'v'), ('fare', 'n'), ('pandemic', 'n'), ('greedy', 'n'), ('money', 'n'), ('taking', 'v'), ('advantage', 'n'), ('situation', 'n')]",  never use airline way handle COVID situation cancel flight operate special flight charge triple fare cancel commercial flight without notify passenger flight decrease fare pandemic greedy money take advantage situation,-0.1531,Negative
"  Birmingham to Islamabad. I am severely disgusted in PIA for the way in which they have handled the crisis of COVID-19. Having cancelled all of their flights up to April 5th, they have not sent out any confirmation e-mails regarding this. When I rang the airline contact centre, they told me my flight has been cancelled however they will not book me and my father onto the emergency flights leaving the same date (29.03) and same time (11.50am) as our original flights. When I queried why, he just told me he could not. I asked to speak to his manager which he refused and also would not provide me with his managers name. I further asked him for a confirmation e-mail my flights have been cancelled and he refused to do this. He then went on to cut the call on me. I am so disgusted this is the kind of service PIA provide to it's loyal customers. Do not ever book with this airline. There is no on flight entertainment.", Birmingham to Islamabad I am severely disgusted in PIA for the way in which they have handled the crisis of COVID Having cancelled all of their flights up to April th they have not sent out any confirmation e mails regarding this When I rang the airline contact centre they told me my flight has been cancelled however they will not book me and my father onto the emergency flights leaving the same date and same time am as our original flights When I queried why he just told me he could not I asked to speak to his manager which he refused and also would not provide me with his managers name I further asked him for a confirmation e mail my flights have been cancelled and he refused to do this He then went on to cut the call on me I am so disgusted this is the kind of service PIA provide to it s loyal customers Do not ever book with this airline There is no on flight entertainment ,"[('Birmingham', 'n'), ('Islamabad', 'n'), ('severely', 'r'), ('disgusted', 'v'), ('PIA', 'n'), ('way', 'n'), ('handled', 'v'), ('crisis', 'n'), ('COVID', 'n'), ('cancelled', 'v'), ('flights', 'n'), ('April', 'n'), ('th', 'n'), ('sent', 'v'), ('confirmation', 'n'), ('e', 'n'), ('mails', 'v'), ('regarding', 'v'), ('rang', 'v'), ('airline', 'n'), ('contact', 'n'), ('centre', 'n'), ('told', 'v'), ('flight', 'n'), ('cancelled', 'v'), ('however', 'r'), ('book', 'n'), ('father', 'n'), ('onto', None), ('emergency', 'n'), ('flights', 'n'), ('leaving', 'v'), ('date', 'n'), ('time', 'n'), ('original', 'a'), ('flights', 'n'), ('queried', 'v'), ('told', 'v'), ('could', None), ('asked', 'v'), ('speak', 'v'), ('manager', 'n'), ('refused', 'v'), ('also', 'r'), ('would', None), ('provide', 'v'), ('managers', 'n'), ('name', 'n'), ('asked', 'v'), ('confirmation', 'n'), ('e', 'n'), ('mail', 'n'), ('flights', 'n'), ('cancelled', 'v'), ('refused', 'v'), ('went', 'v'), ('cut', 'v'), ('call', 'n'), ('disgusted', 'a'), ('kind', 'n'), ('service', 'n'), ('PIA', 'n'), ('provide', 'n'), ('loyal', 'a'), ('customers', 'n'), ('ever', 'r'), ('book', 'n'), ('airline', 'n'), ('flight', 'n'), ('entertainment', 'n')]",  Birmingham Islamabad severely disgust PIA way handle crisis COVID cancel flight April th send confirmation e mail regard ring airline contact centre tell flight cancel however book father onto emergency flight leave date time original flight query tell could ask speak manager refuse also would provide manager name ask confirmation e mail flight cancel refuse go cut call disgusted kind service PIA provide loyal customer ever book airline flight entertainment,-0.9442,Negative
"  Flew executive economy from London to Karachi and Islamabad to London. State of the aircraft is pathetic, old and decrepit. Seats are broken and no IFE available so it’s a horribly long flight with nothing to do. On the way to Karachi cabin crew were average and the food was absolutely horrible. On the return the cabin crew were once again average but one male attendant in business class went above his duty for my mum, very professional chap he was. On the return the food was ok but my luggage took 90 minutes to arrive which is appalling. Overall I wouldn’t recommend PIA, now there is BA I will be flying with them next time as the difference in price isn’t too bad.", Flew executive economy from London to Karachi and Islamabad to London State of the aircraft is pathetic old and decrepit Seats are broken and no IFE available so it s a horribly long flight with nothing to do On the way to Karachi cabin crew were average and the food was absolutely horrible On the return the cabin crew were once again average but one male attendant in business class went above his duty for my mum very professional chap he was On the return the food was ok but my luggage took minutes to arrive which is appalling Overall I wouldn t recommend PIA now there is BA I will be flying with them next time as the difference in price isn t too bad ,"[('Flew', 'n'), ('executive', 'n'), ('economy', 'n'), ('London', 'n'), ('Karachi', 'n'), ('Islamabad', 'n'), ('London', 'n'), ('State', 'n'), ('aircraft', 'n'), ('pathetic', 'a'), ('old', 'a'), ('decrepit', 'a'), ('Seats', 'n'), ('broken', 'v'), ('IFE', 'n'), ('available', 'a'), ('horribly', 'r'), ('long', 'a'), ('flight', 'n'), ('nothing', 'n'), ('way', 'n'), ('Karachi', 'n'), ('cabin', 'n'), ('crew', 'n'), ('average', 'a'), ('food', 'n'), ('absolutely', 'r'), ('horrible', 'a'), ('return', 'n'), ('cabin', 'n'), ('crew', 'n'), ('average', 'a'), ('one', None), ('male', 'n'), ('attendant', 'n'), ('business', 'n'), ('class', 'n'), ('went', 'v'), ('duty', 'n'), ('mum', 'a'), ('professional', 'a'), ('chap', 'n'), ('return', 'n'), ('food', 'n'), ('ok', 'a'), ('luggage', 'n'), ('took', 'v'), ('minutes', 'n'), ('arrive', 'v'), ('appalling', 'v'), ('Overall', 'a'), ('recommend', 'v'), ('PIA', 'n'), ('BA', 'n'), ('flying', 'v'), ('next', 'a'), ('time', 'n'), ('difference', 'n'), ('price', 'n'), ('bad', 'a')]",  Flew executive economy London Karachi Islamabad London State aircraft pathetic old decrepit Seats break IFE available horribly long flight nothing way Karachi cabin crew average food absolutely horrible return cabin crew average one male attendant business class go duty mum professional chap return food ok luggage take minute arrive appal Overall recommend PIA BA fly next time difference price bad,-0.8932,Negative
"  Manchester to Lahore. I went with 3 kids and 1 baby, asked for a cot seat they said it's not available. Once we were on the plane cot seats were available and they did not give us when going and when coming back, had to hold baby for 8 hours. Paid so much for 5 tickets and no entertainment for kids, the tv does not even work, seats are ripped, very unhappy with the service. I only wanted direct flight to Lahore because of kids and thought it would be easy, it was so bad I would rather go back middle east airlines and stop over,at least they always gave me a cot and kids had entertainment. Never seen anything bad like their crew and the airline.", Manchester to Lahore I went with kids and baby asked for a cot seat they said it s not available Once we were on the plane cot seats were available and they did not give us when going and when coming back had to hold baby for hours Paid so much for tickets and no entertainment for kids the tv does not even work seats are ripped very unhappy with the service I only wanted direct flight to Lahore because of kids and thought it would be easy it was so bad I would rather go back middle east airlines and stop over at least they always gave me a cot and kids had entertainment Never seen anything bad like their crew and the airline ,"[('Manchester', 'n'), ('Lahore', 'v'), ('went', 'v'), ('kids', 'n'), ('baby', 'n'), ('asked', 'v'), ('cot', 'a'), ('seat', 'n'), ('said', 'v'), ('available', 'a'), ('plane', 'n'), ('cot', 'n'), ('seats', 'n'), ('available', 'a'), ('give', 'v'), ('us', None), ('going', 'v'), ('coming', 'v'), ('back', 'r'), ('hold', 'v'), ('baby', 'n'), ('hours', 'n'), ('Paid', 'n'), ('much', 'r'), ('tickets', 'n'), ('entertainment', 'n'), ('kids', 'n'), ('tv', 'n'), ('even', 'r'), ('work', 'v'), ('seats', 'n'), ('ripped', 'v'), ('unhappy', 'a'), ('service', 'n'), ('wanted', 'v'), ('direct', 'a'), ('flight', 'n'), ('Lahore', 'n'), ('kids', 'n'), ('thought', 'v'), ('would', None), ('easy', 'a'), ('bad', 'a'), ('would', None), ('rather', 'r'), ('go', 'v'), ('back', 'r'), ('middle', 'a'), ('east', 'n'), ('airlines', 'n'), ('stop', 'v'), ('least', 'a'), ('always', 'r'), ('gave', 'v'), ('cot', 'n'), ('kids', 'n'), ('entertainment', 'n'), ('Never', 'n'), ('seen', 'v'), ('anything', 'n'), ('bad', 'a'), ('like', None), ('crew', 'n'), ('airline', 'n')]",  Manchester Lahore go kid baby ask cot seat say available plane cot seat available give us go come back hold baby hour Paid much ticket entertainment kid tv even work seat rip unhappy service want direct flight Lahore kid think would easy bad would rather go back middle east airline stop least always give cot kid entertainment Never see anything bad like crew airline,0.6858,Positive
"  Birmingham to Islamabad. Travelled Premium Economy - meaning you travel in the old Business Class seats but get none of the other extras that you would expect on other airlines. Check in at Birmingham was a nightmare in that the luggage allowance is 50Kg and the ""safe"" weight is 23Kg (as stated on the tickets) so this necessitates three pieces of luggage? When checking suddenly informed, only 2 pieces of luggage allowable! Check in lady advises we cling wrap two suitcases together. Much tooing and froing getting the weights ok then spending £17 on clingwrap. Only to be told that the luggage was now deemed ""overweight"" so we had to take to outsize counter! Dragged them there. By now, no time to visit free lounge was at far end of terminal. Onboard seats comfortable and extendable to near flat. Service was good, with attentive and polite staff. Food acceptable, and large portions but preferred my Pret baguette I had purchased in the terminal. No entertainment, nothing! If you could put the screen on, all the channels are blank! Make sure you bring your own screens with you and plenty of power banks as there no plug points. Cabin - hot & clammy - no way of getting any cool air as there are no vents.Lucky by product of being so hot, managed to actually sleep. On disembarking - no special treatment. Service has improved but every thing else is lacking, food, entertainment and state of planes.", Birmingham to Islamabad Travelled Premium Economy meaning you travel in the old Business Class seats but get none of the other extras that you would expect on other airlines Check in at Birmingham was a nightmare in that the luggage allowance is Kg and the safe weight is Kg as stated on the tickets so this necessitates three pieces of luggage When checking suddenly informed only pieces of luggage allowable Check in lady advises we cling wrap two suitcases together Much tooing and froing getting the weights ok then spending on clingwrap Only to be told that the luggage was now deemed overweight so we had to take to outsize counter Dragged them there By now no time to visit free lounge was at far end of terminal Onboard seats comfortable and extendable to near flat Service was good with attentive and polite staff Food acceptable and large portions but preferred my Pret baguette I had purchased in the terminal No entertainment nothing If you could put the screen on all the channels are blank Make sure you bring your own screens with you and plenty of power banks as there no plug points Cabin hot clammy no way of getting any cool air as there are no vents Lucky by product of being so hot managed to actually sleep On disembarking no special treatment Service has improved but every thing else is lacking food entertainment and state of planes ,"[('Birmingham', 'n'), ('Islamabad', 'n'), ('Travelled', 'n'), ('Premium', 'n'), ('Economy', 'n'), ('meaning', 'v'), ('travel', 'v'), ('old', 'a'), ('Business', 'n'), ('Class', 'n'), ('seats', 'n'), ('get', 'v'), ('none', 'n'), ('extras', 'n'), ('would', None), ('expect', 'v'), ('airlines', 'n'), ('Check', 'n'), ('Birmingham', 'n'), ('nightmare', 'n'), ('luggage', 'n'), ('allowance', 'n'), ('Kg', 'n'), ('safe', 'a'), ('weight', 'n'), ('Kg', 'n'), ('stated', 'v'), ('tickets', 'n'), ('necessitates', 'v'), ('three', None), ('pieces', 'n'), ('luggage', 'n'), ('checking', 'v'), ('suddenly', 'r'), ('informed', 'v'), ('pieces', 'n'), ('luggage', 'n'), ('allowable', 'a'), ('Check', 'n'), ('lady', 'a'), ('advises', 'n'), ('cling', 'v'), ('wrap', 'a'), ('two', None), ('suitcases', 'v'), ('together', 'r'), ('Much', 'a'), ('tooing', 'n'), ('froing', 'v'), ('getting', 'v'), ('weights', 'n'), ('ok', 'v'), ('spending', 'v'), ('clingwrap', 'n'), ('told', 'v'), ('luggage', 'n'), ('deemed', 'v'), ('overweight', 'r'), ('take', 'v'), ('outsize', 'v'), ('counter', 'n'), ('Dragged', 'n'), ('time', 'n'), ('visit', 'v'), ('free', 'a'), ('lounge', 'n'), ('far', 'r'), ('end', 'n'), ('terminal', 'a'), ('Onboard', 'n'), ('seats', 'n'), ('comfortable', 'a'), ('extendable', 'a'), ('near', 'v'), ('flat', 'a'), ('Service', 'n'), ('good', 'a'), ('attentive', 'a'), ('polite', 'a'), ('staff', 'n'), ('Food', 'n'), ('acceptable', 'n'), ('large', 'a'), ('portions', 'n'), ('preferred', 'a'), ('Pret', 'n'), ('baguette', 'n'), ('purchased', 'v'), ('terminal', 'n'), ('entertainment', 'n'), ('nothing', 'n'), ('could', None), ('put', 'v'), ('screen', 'n'), ('channels', 'n'), ('blank', 'a'), ('Make', 'n'), ('sure', 'n'), ('bring', 'v'), ('screens', 'n'), ('plenty', 'n'), ('power', 'n'), ('banks', 'n'), ('plug', 'n'), ('points', 'n'), ('Cabin', 'n'), ('hot', 'a'), ('clammy', 'n'), ('way', 'n'), ('getting', 'v'), ('cool', 'a'), ('air', 'n'), ('vents', 'n'), ('Lucky', 'v'), ('product', 'n'), ('hot', 'a'), ('managed', 'v'), ('actually', 'r'), ('sleep', 'v'), ('disembarking', 'v'), ('special', 'a'), ('treatment', 'n'), ('Service', 'n'), ('improved', 'v'), ('every', None), ('thing', 'n'), ('else', 'r'), ('lacking', 'v'), ('food', 'n'), ('entertainment', 'n'), ('state', 'n'), ('planes', 'n')]",  Birmingham Islamabad Travelled Premium Economy mean travel old Business Class seat get none extra would expect airline Check Birmingham nightmare luggage allowance Kg safe weight Kg state ticket necessitate three piece luggage check suddenly inform piece luggage allowable Check lady advises cling wrap two suitcases together Much tooing froing get weight ok spend clingwrap tell luggage deem overweight take outsize counter Dragged time visit free lounge far end terminal Onboard seat comfortable extendable near flat Service good attentive polite staff Food acceptable large portion preferred Pret baguette purchase terminal entertainment nothing could put screen channel blank Make sure bring screen plenty power bank plug point Cabin hot clammy way get cool air vent Lucky product hot manage actually sleep disembark special treatment Service improve every thing else lack food entertainment state plane,0.9808,Positive
